Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2012-08-22T20:11:25Z,TSLA,1.9999998,49833,Market On Open,Filled,99665.9900334, 
2012-08-23T19:45:00Z,TSLA,2.043333129,-49833,Market,Filled,-101825.41981746,Liquidated 
2012-09-17T05:40:24Z,TSLA,2.156666451,49929,Market On Open,Filled,107680.19923198, 
2012-09-17T19:45:00Z,TSLA,2.1719997828,-49929,Market,Filled,-108445.77715542,Liquidated 
2012-09-25T08:34:05Z,TSLA,1.9093331424,49620,Market On Open,Filled,94741.110525888, 
2012-09-25T19:45:00Z,TSLA,1.8419998158,-49620,Market,Filled,-91400.030859996,Liquidated 
2012-11-16T06:25:09Z,TSLA,2.076666459,47459,Market On Open,Filled,98556.513477681, 
2012-11-16T20:45:00Z,TSLA,2.1286664538,-47459,Market,Filled,-101024.38123089,Liquidated 
2012-11-21T00:22:30Z,TSLA,2.1739997826,-45275,Market On Open,Filled,-98427.840157215, 
2012-11-21T20:45:00Z,TSLA,2.1593331174,45275,Market,Filled,97763.806890285,Liquidated 
2012-12-04T09:40:57Z,TSLA,2.2719997728,43252,Market On Open,Filled,98268.534173146, 
2012-12-04T20:45:00Z,TSLA,2.2593331074,-43252,Market,Filled,-97720.675561265,Liquidated 
2012-12-09T13:38:49Z,TSLA,2.2953331038,43392,Market On Open,Filled,99599.09404009, 
2012-12-10T20:45:00Z,TSLA,2.3046664362,-43392,Market,Filled,-100004.08599959,Liquidated 
2012-12-11T07:54:31Z,TSLA,2.306666436,42891,Market On Open,Filled,98935.230106476, 
2012-12-11T20:45:00Z,TSLA,2.3586664308,-42891,Market,Filled,-101165.56188344,Liquidated 
2012-12-19T06:20:52Z,TSLA,2.316666435,43632,Market On Open,Filled,101080.78989192, 
2012-12-19T20:45:00Z,TSLA,2.309999769,-43632,Market,Filled,-100789.90992101,Liquidated 
2013-02-12T00:44:07Z,TSLA,2.563333077,39008,Market On Open,Filled,99990.496667616, 
2013-02-12T20:45:00Z,TSLA,2.5079997492,-39008,Market,Filled,-97832.054216794,Liquidated 
2013-03-08T20:16:36Z,TSLA,2.5773330756,-37782,Market,Filled,-97376.798262319, 
2013-03-08T20:45:00Z,TSLA,2.5659997434,37782,Market,Filled,96948.602305139,Liquidated 
2013-03-25T22:48:31Z,TSLA,2.5319997468,38937,Market On Open,Filled,98588.474141152, 
2013-03-26T19:45:00Z,TSLA,2.523333081,-38937,Market,Filled,-98251.020174897,Liquidated 
2013-03-31T04:54:45Z,TSLA,2.8159997184,38282,Market On Open,Filled,107802.10121979, 
2013-04-01T19:45:00Z,TSLA,2.8813330452,-38282,Market,Filled,-110303.19163635,Liquidated 
2013-04-02T20:19:42Z,TSLA,2.873333046,33436,Market On Open,Filled,96072.763726056, 
2013-04-03T19:45:00Z,TSLA,2.7226663944,-33436,Market,Filled,-91035.073563158,Liquidated 
2013-04-08T23:22:03Z,TSLA,2.786666388,-33520,Market On Open,Filled,-93409.05732576, 
2013-04-09T19:45:00Z,TSLA,2.696666397,33520,Market,Filled,90392.25762744,Liquidated 
2013-04-11T06:11:41Z,TSLA,2.8039997196,34453,Market On Open,Filled,96606.202339379, 
2013-04-11T19:45:00Z,TSLA,2.8986663768,-34453,Market,Filled,-99867.75267989,Liquidated 
2013-04-24T02:42:04Z,TSLA,3.393332994,-29137,Market On Open,Filled,-98871.543446178, 
2013-04-24T19:45:00Z,TSLA,3.3506663316,29137,Market,Filled,97628.364903829,Liquidated 
2013-05-01T21:44:56Z,TSLA,3.589999641,28164,Market On Open,Filled,101108.74988912, 
2013-05-02T19:45:00Z,TSLA,3.6159996384,-28164,Market,Filled,-101841.0138159,Liquidated 
2013-05-04T10:37:17Z,TSLA,3.7593329574,27632,Market On Open,Filled,103877.88827888, 
2013-05-06T19:45:00Z,TSLA,3.8753329458,-27632,Market,Filled,-107083.19995835,Liquidated 
2013-05-09T03:54:47Z,TSLA,4.6666662,27823,Market On Open,Filled,129840.6536826, 
2013-05-09T19:45:00Z,TSLA,4.8953328438,-27823,Market,Filled,-136202.84571305,Liquidated 
2013-10-30T18:47:30Z,TSLA,10.6326656034,10305,Market,Filled,109569.61904304, 
2013-10-30T19:45:00Z,TSLA,10.6859989314,-10305,Market,Filled,-110119.21898808,Liquidated 
2013-11-02T22:56:34Z,TSLA,10.9999989,10170,Market On Open,Filled,111869.988813, 
