Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2013-04-11T18:03:00Z,TSLA,2.923333041,34071,Market,Filled,99600.880039911, 
2013-04-11T18:05:00Z,TSLA,2.9486663718,-34071,Market,Filled,-100464.0119536,Liquidated 
2013-04-25T15:54:00Z,TSLA,3.4753329858,28799,Market,Filled,100086.11465805, 
2013-04-25T15:56:00Z,TSLA,3.479999652,-28799,Market,Filled,-100220.50997795,Liquidated 
2013-05-02T17:54:00Z,TSLA,3.6093329724,27705,Market,Filled,99996.570000342, 
2013-05-02T17:56:00Z,TSLA,3.619999638,-27705,Market,Filled,-100292.08997079,Liquidated 
2013-05-07T15:42:00Z,TSLA,3.8479996152,-25971,Market,Filled,-99936.398006359, 
2013-05-07T15:44:00Z,TSLA,3.8106662856,25971,Market,Filled,98966.814103318,Liquidated 
2015-03-30T16:35:00Z,TSLA,12.2339987766,8244,Market,Filled,100857.08591429, 
2015-03-30T16:37:00Z,TSLA,12.463332087,-8244,Market,Filled,-102747.70972523,Liquidated 
2016-04-01T17:23:00Z,TSLA,15.6359984364,6563,Market,Filled,102619.05773809, 
2016-04-01T17:25:00Z,TSLA,15.646665102,-6563,Market,Filled,-102689.06306443,Liquidated 
2016-08-23T15:23:00Z,TSLA,14.8806651786,6897,Market,Filled,102631.9477368, 
2016-08-23T15:25:00Z,TSLA,15.0213318312,-6897,Market,Filled,-103602.12563979,Liquidated 
2018-04-02T19:03:00Z,TSLA,16.8753316458,6135,Market,Filled,103530.15964698, 
2018-04-02T19:05:00Z,TSLA,16.8853316448,-6135,Market,Filled,-103591.50964085,Liquidated 
2018-07-05T18:02:00Z,TSLA,20.696664597,-4999,Market,Filled,-103462.6263204, 
2018-07-05T18:04:00Z,TSLA,20.5986646068,4999,Market,Filled,102972.72436939,Liquidated 
2018-08-07T16:48:00Z,TSLA,23.7906642876,4370,Market,Filled,103965.20293681, 
2018-08-07T16:50:00Z,TSLA,24.73333086,-4370,Market,Filled,-108084.6558582,Liquidated 
2018-08-07T17:15:00Z,TSLA,24.39999756,-4424,Market,Filled,-107945.58920544, 
2018-08-07T17:17:00Z,TSLA,24.3006642366,4424,Market,Filled,107506.13858272,Liquidated 
2018-08-07T18:07:00Z,TSLA,24.579997542,-4410,Market,Filled,-108397.78916022, 
2018-08-07T18:09:00Z,TSLA,24.4939975506,4410,Market,Filled,108018.52919815,Liquidated 
2018-10-08T15:42:00Z,TSLA,16.8379983162,6460,Market,Filled,108773.46912265, 
2018-10-08T15:44:00Z,TSLA,16.8673316466,-6460,Market,Filled,-108962.96243704,Liquidated 
2018-10-23T18:28:00Z,TSLA,19.5653313768,-5565,Market,Filled,-108881.06911189, 
2018-10-23T18:30:00Z,TSLA,19.526664714,5565,Market,Filled,108665.88913341,Liquidated 
2018-10-26T18:02:00Z,TSLA,21.7079978292,-5021,Market,Filled,-108995.85710041, 
2018-10-26T18:04:00Z,TSLA,21.3426645324,5021,Market,Filled,107161.51861718,Liquidated 
2018-10-26T19:11:00Z,TSLA,21.6279978372,-5123,Market,Filled,-110800.23291998, 
2018-10-26T19:13:00Z,TSLA,21.5813311752,5123,Market,Filled,110561.15961055,Liquidated 
2019-01-23T14:53:00Z,TSLA,19.3406647326,-5738,Market,Filled,-110976.73423566, 
2019-01-23T14:55:00Z,TSLA,19.293331404,5738,Market,Filled,110705.13559615,Liquidated 
2020-02-26T17:20:00Z,TSLA,52.7659947234,2108,Market,Filled,111230.71687693, 
2020-02-26T17:22:00Z,TSLA,52.8386613828,-2108,Market,Filled,-111383.89819494,Liquidated 
2020-03-24T18:22:00Z,TSLA,33.0219966978,3374,Market,Filled,111416.21685838, 
2020-03-24T18:24:00Z,TSLA,33.213330012,-3374,Market,Filled,-112061.77546049,Liquidated 
2020-04-02T19:50:00Z,TSLA,30.1179969882,3718,Market,Filled,111978.71280213, 
2020-04-02T19:52:00Z,TSLA,30.16666365,-3718,Market,Filled,-112159.6554507,Liquidated 
2020-05-01T15:11:00Z,TSLA,50.6673282666,-2211,Market,Filled,-112025.46279745, 
2020-05-01T15:13:00Z,TSLA,49.7993283534,2211,Market,Filled,110106.31498937,Liquidated 
2020-05-13T18:00:00Z,TSLA,51.9279948072,-2195,Market,Filled,-113981.9486018, 
2020-05-13T18:02:00Z,TSLA,51.7086614958,2195,Market,Filled,113500.51198328,Liquidated 
2020-06-10T14:03:00Z,TSLA,66.5453266788,-1719,Market,Filled,-114391.41656086, 
2020-06-10T14:05:00Z,TSLA,66.7159933284,1719,Market,Filled,114684.79253152,Liquidated 
2020-07-14T18:48:00Z,TSLA,100.7519899248,-1133,Market,Filled,-114152.0045848, 
2020-07-14T18:50:00Z,TSLA,100.056656661,1133,Market,Filled,113364.19199691,Liquidated 
2020-07-21T17:09:00Z,TSLA,106.4126560254,-1079,Market,Filled,-114819.25585141, 
2020-07-21T17:11:00Z,TSLA,105.2539894746,1079,Market,Filled,113569.05464309,Liquidated 
2020-07-24T14:12:00Z,TSLA,93.9339906066,-1235,Market,Filled,-116008.47839915, 
2020-07-24T14:14:00Z,TSLA,94.0373239296,1235,Market,Filled,116136.09505306,Liquidated 
2020-11-03T14:53:00Z,TSLA,138.526652814,-837,Market,Filled,-115946.80840532, 
2020-11-03T14:55:00Z,TSLA,138.16665285,837,Market,Filled,115645.48843545,Liquidated 
2020-11-03T14:59:00Z,TSLA,137.693319564,845,Market,Filled,116350.85503158, 
2020-11-03T15:01:00Z,TSLA,138.579986142,-845,Market,Filled,-117100.08828999,Liquidated 
2020-11-19T15:14:00Z,TSLA,168.816649785,-693,Market,Filled,-116989.938301, 
2020-11-19T15:16:00Z,TSLA,168.916649775,693,Market,Filled,117059.23829407,Liquidated 
2021-05-18T13:43:00Z,TSLA,191.183314215,-611,Market,Filled,-116813.00498536, 
2021-05-18T13:45:00Z,TSLA,190.639980936,611,Market,Filled,116481.0283519,Liquidated 
