Datetime,Text
2011-12-01 05:29:04-05:00,i made the volume on the model s {url} go to 11.  now i just need to work in a miniature stonehenge...
2011-12-21 06:13:59-05:00,"yeah, this really is me, as my mom @mayemusk will attest.
not sure i can handle just doing 140 char missives. will put longer thoughts on g+"
2011-12-22 06:30:10-05:00,model s options are out! performance in red and black for me.  i will deliver my car in june/july. {url}
2011-12-31 08:06:23-05:00,hacked my tesla charge connector on a small island in the rain last night #whatcouldpossiblygowrong
2012-01-06 12:28:01-05:00,feb is huge month. model x world premier and public reveal of our la design studio on the 9th. stay tuned for more details.
2012-01-06 15:09:40-05:00,model s signature series sold out as of today {url}
2012-01-10 21:36:39-05:00,"the exec conf room at tesla used to be called denali, but i decided to move a few letters around. seemed more apt :) {url}"
2012-01-11 21:47:48-05:00,model s performance powertrain produced so much torque today that we broke the dyno. 4.4 sec 0-60 mph will not be a problem.
2012-01-13 00:49:17-05:00,"a tesla roadster just passed the 100,000 mile mark for the first time and still has over 200 miles of range."
2012-01-17 12:44:57-05:00,"tsla down ~$500m friday, but back up ~$500m today. sorry for the roller coaster."
2012-01-17 12:47:19-05:00,will communicate better in the future. too many people want us to fail and are willing to twist any bit of news against tesla.
2012-01-17 17:07:50-05:00,that's not just paranoia (a healthy trait at times). tesla really is under massive attack by short sellers {url}
2012-01-27 21:21:03-05:00,the model x unveiling will be webcast live on {url} at 8pm on feb 9th. most cars are pretty blah. this is not.
2012-02-02 12:00:34-05:00,the most interesting view of the model x is really with the doors open {url}
2012-02-07 02:13:16-05:00,"@bentobewild yes, we will unveil a fully functional advanced prototype of the model x -- almost identical to production."
2012-02-09 11:37:45-05:00,model x sketch showing just a bit more leg. unveiling tonight... {url}
2012-02-10 11:51:47-05:00,"@teslasbigfan don't worry, we've got a cool solution for ski storage on the x with the falcon wing doors"
2012-02-10 12:23:17-05:00,tesla model x video  {url}
2012-02-10 14:38:00-05:00,"tesla model x is 3rd most searched term on google, right after purple squirrel. damn you squirrel! {url}"
2012-02-13 20:32:06-05:00,model x review by jim motavalli. i think he likes the car. {url}
2012-03-06 20:52:14-05:00,the president of serbia came by our booth at the geneva motor show and talked about nikola tesla {url}
2012-03-27 20:32:07-04:00,"the model s beta endurance car just passed 150,000 miles on a single battery pack!"
2012-04-05 19:35:14-04:00,"wow, a tesla owner in europe just passed 200,000 km while racing his roadster! {url}"
2012-05-09 19:54:36-04:00,model s exceeds 300 mile range target! prize for the 1st person to do la-sf nonstop (400 miles) {url}
2012-05-10 12:24:47-04:00,"meant to say: prizes for first 10 who do 400 miles in tesla w/o recharging, not nonstop, which would require diapers :)"
2012-05-21 23:05:10-04:00,major tesla milestone: all crash testing is complete for 5* (max) safety rating. cars can now be built for sale to public!
2012-06-22 18:16:33-04:00,about to deliver the first ten model s cars from @teslamotors!
2012-06-22 18:18:45-04:00,model s review by motor trend {url}
2012-06-30 23:27:27-04:00,"after 2008 meltdown, vacation for me just meant email with a view, but spacex &amp; tesla are now strong enough that i can make it real (yay!!)"
2012-07-12 10:50:49-04:00,"going at full speed! mt â@iansomerhalder: elon- you are my hero my friend.please!ramp up production on cars that use no gas."""
2012-07-26 23:38:47-04:00,"@walalm yes, my absolute goal w tesla has always been mass market electric cars. will finally get there with gen3 program."
2012-07-31 17:57:37-04:00,goal for model s is to show that electric is way way better than gas. combine w solar power &amp; the future looks bright.
2012-07-31 22:17:45-04:00,"@djjodes would love to make a tesla supertruck with crazy torque, dynamic air suspension and corners like its on rails. that'd be sweet..."
2012-08-22 12:11:24-04:00,glad to contribute to the tesla museum and will do more in the future. he was a great man. {url}
2012-08-22 12:14:31-04:00,i love the sight of teslas in the morning. production line review is looking good! {url}
2012-08-27 15:39:47-04:00,motor trend tests model s as fastest american sedan at 3.9 sec 0-60 mph and tied for 1st worldwide in stopping distance
2012-08-27 15:51:07-04:00,"@joebeernink back of the envelope calc: merlin wd accelerate model s at 25 g's, so wd break sound barrier in &lt;1.5 sec"
2012-09-06 16:00:47-04:00,tesla model s driven 285 miles from vegas to the beach in la on a single charge by @motortrend {url}
2012-09-13 21:27:09-04:00,tesla supercharger unveiling event set for sept 24. it will feel like alien spaceships landed at highway rest stops.
2012-09-16 21:40:23-04:00,tesla made 100 vehicle bodies this week for the first time. really proud of the team! pic of s/n 396: {url}
2012-09-24 13:53:03-04:00,model s review by @wired. totally agree with criticisms. corrections coming soon. {url}
2012-09-25 00:34:04-04:00,the tesla supercharger will over time allow you to travel anywhere on pure sunlight for free {url}
2012-10-01 16:39:28-04:00,review of the model s by @nytimes {url}
2012-10-02 20:29:28-04:00,"@elonmusk sorry, meant to say edt."
2012-10-03 22:31:38-04:00,"an update about tesla 
{url}"
2012-10-22 16:19:24-04:00,just wrote a blog piece about tesla stores {url}
2012-10-27 21:31:22-04:00,doing la to sf road trip in model s with all 5 kids &amp; talulah. supercharger finished charging b4 we finished our burgers!
2012-10-27 21:53:32-04:00,pic of the model s getting supercharged with the lovely @talulahriley {url}
2012-10-27 22:04:08-04:00,"reply to @astro_yyz: yes, model s seats 5 adults + 2 kids with room for luggage in the front trunk. my kids love the rear facing seats best."
