Tweet_Tidspunkt;Forventet_Avkastning;Faktisk_Avkastning;Unormal_Avkastning;Total_Unormal_Avkastning;Lopenummer;Text;Rank
2012-01-17 11:44:00 UTC;8,40336E-05;0,001508928;0,001424894;-0,001623334;2;tsla down ~$500m friday, but back up ~$500m today. sorry for the roller coaster.;1
2012-01-17 11:47:00 UTC;0,000755034;-0,000391576;-0,00114661;-0,007550341;2;will communicate better in the future. too many people want us to fail and are willing to twist any bit of news against tesla.;-1
2012-02-09 10:37:00 UTC;0,001407992;0,000328076;-0,001079915;-0,015626563;2;model x sketch showing just a bit more leg. unveiling tonight... {url};-1
2012-05-10 10:24:00 UTC;-0,000145437;0,001207865;0,001353301;0,005285106;2;meant to say: prizes for first 10 who do 400 miles in tesla w/o recharging, not nonstop, which would require diapers :);1
2013-01-04 12:19:00 UTC;0,000438654;-0,000569838;-0,001008492;-0,001757383;2;nice story about a model s coast to coast road trip. by end of year, it will be superchargers all the way! {url};-1
2013-02-11 13:26:00 UTC;5,83431E-05;0,001821459;0,001763116;0,001741251;2;"nytimes article about tesla range in cold is fake. vehicle logs tell true story that he didn't actually charge to max &amp; took a long detour.";1
2013-02-11 13:30:00 UTC;0,001811567;-0,003580576;-0,005392143;-0,017345165;2;"tesla blog coming soon detailing what actually happened on broder's nytimes ""range test"". also lining up other journalists to do same drive.";-1
2013-02-11 13:41:00 UTC;0,001225706;-0,003209779;-0,004435485;-0,008131112;2;tesla data logging is only turned on with explicit written permission from customers, but after top gear bs, we always keep it on for media.;-1
2013-02-11 13:44:00 UTC;-0,001255702;0,001270037;0,002525739;0,013596817;2;@tomleykis thanks tom! support of real tesla customers like yourself who drive the car every day is v much appreciated.;1
2013-03-08 09:16:00 UTC;-0,000641112;-0,002310982;-0,00166987;-0,007004117;2;minnesota auto dealers tried to pass legislation to block tesla stores. bill was just defeated in senate. thanks mn!;-1
2013-03-25 13:48:00 UTC;0,000670175;0,010010809;0,009340635;0,0158155;2;really exciting @teslamotors announcement coming on thursday. am going to put my money where my mouth is in v major way.;1
2013-04-02 10:11:00 UTC;-2,54768E-05;-0,001797007;-0,00177153;0,002189891;2;today's tesla announcement is actually the 2nd in a 5 part trilogy (love douglas adams);-1
2013-04-02 10:19:00 UTC;0,000229074;0,001595357;0,001366283;-0,003309136;2;certainly true that many people believe that tesla and spacex are powered by the #hhgttg infinite improbability drive :);1
2013-04-02 11:49:00 UTC;-0,000223907;-0,00236057;-0,002136663;-0,003324555;2;am headed to tx next week to thank people personally for supporting tesla. please head to sb 1659 @ 8am tomorrow #teslatx;-1
2013-04-09 08:56:00 UTC;-0,000341221;-0,003706041;-0,00336482;0,005629264;2;in tx to make the case for allowing tesla to sell cars. pls come to capitol room e2.014 at 1:30! {url};-1
2013-04-11 12:03:00 UTC;-0,000965302;0,00111927;0,002084572;0,013749564;2;new york judge just ruled in favor tesla, dismissing the legal attack by auto dealers to prevent direct sales!;1
2013-04-25 09:54:00 UTC;0,000390851;-0,001521524;-0,001912375;-0,00275511;2;announcement of new @teslamotors strategy tomorrow. tesla owners will like this.;-1
2013-04-25 12:45:00 UTC;0,000216438;-0,001326031;-0,001542468;-0,003521328;2;@tapp697 thanks, important clarification. tesla announcements are always about making product experience better. market follows eventually.;-1
2013-05-06 13:25:00 UTC;-5,80623E-05;0,002791204;0,002849267;0,001380509;2;chris porritt from aston martin just joined as head of vehicle engineering at tesla {url};1
2013-05-07 09:37:00 UTC;-0,001428703;0,000179872;0,001608576;-0,001785064;2;creating an autopilot for cars at tesla is an important, but not yet top priority. still a few years from production.;1
2013-05-07 09:42:00 UTC;-0,001677123;-0,007893815;-0,006216692;0,012274618;2;"tesla priority is electrification of cars, so priority is model s, model x, then mass market third gen vehicle &amp; truck";-1
2013-05-09 09:24:00 UTC;0,002602942;-0,003523901;-0,006126843;-0,014023998;2;there is a way for the tesla model s to be recharged throughout the country faster than you could fill a gas tank.;-1
