Tweet_Tidspunkt,Text,Rank
2012-01-06 12:28:00,feb is huge month model x world premier and public reveal of our la design studio on the 9th stay tuned for more details,0
2012-01-06 15:09:00,model s signature series sold out as of today ,0
2012-01-17 12:44:00,tsla down 500m friday but back up 500m today sorry for the roller coaster,0
2012-01-17 12:47:00,will communicate better in the future too many people want us to fail and are willing to twist any bit of news against tesla,0
2012-02-02 12:00:00,the most interesting view of the model x is really with the doors open ,0
2012-02-09 11:37:00,model x sketch showing just a bit more leg unveiling tonight ,0
2012-02-10 11:51:00,teslasbigfan dont worry weve got a cool solution for ski storage on the x with the falcon wing doors,0
2012-02-10 12:23:00,tesla model x video  ,0
2012-02-10 14:38:00,tesla model x is 3rd most searched term on google right after purple squirrel damn you squirrel ,0
2012-05-10 12:24:00,meant to say prizes for first 10 who do 400 miles in tesla wo recharging not nonstop which would require diapers ,0
2012-07-12 10:50:00,going at full speed mt âiansomerhalder elon you are my hero my friendpleaseramp up production on cars that use no gas,0
2012-08-22 12:11:00,glad to contribute to the tesla museum and will do more in the future he was a great man ,0
2012-08-22 12:14:00,i love the sight of teslas in the morning production line review is looking good ,0
2012-08-27 15:39:00,motor trend tests model s as fastest american sedan at 39 sec 060 mph and tied for 1st worldwide in stopping distance,0
2012-08-27 15:51:00,joebeernink back of the envelope calc merlin wd accelerate model s at 25 gs so wd break sound barrier in lt15 sec,0
2012-09-24 13:53:00,model s review by wired totally agree with criticisms corrections coming soon ,0
2012-11-20 14:22:00,mass judge denies auto dealers demand to kill our little tesla store yay justice prevails  ,0
2012-12-12 12:12:00,tesla articles 30 mins apart this stock is screaming buy  and this stock could get destroyed ,0
2013-01-04 13:19:00,nice story about a model s coast to coast road trip by end of year it will be superchargers all the way ,0
2013-02-11 14:26:00,nytimes article about tesla range in cold is fake vehicle logs tell true story that he didnt actually charge to max amp took a long detour,0
2013-02-11 14:30:00,tesla blog coming soon detailing what actually happened on broders nytimes range test also lining up other journalists to do same drive,0
2013-02-11 14:41:00,tesla data logging is only turned on with explicit written permission from customers but after top gear bs we always keep it on for media,0
2013-02-11 14:44:00,tomleykis thanks tom support of real tesla customers like yourself who drive the car every day is v much appreciated,0
2013-02-11 14:47:00,batasrki yeah top gear pretended the tesla roadster ran out of charge and they had to push it home logs showed 50 miles range left,0
2013-03-08 10:16:00,minnesota auto dealers tried to pass legislation to block tesla stores bill was just defeated in senate thanks mn,0
2013-03-08 12:27:00,check out model s at tesla austin gallery at the domain opening today i will stop by this eve and tomorrow morning,0
2013-03-25 14:48:00,really exciting teslamotors announcement coming on thursday am going to put my money where my mouth is in v major way,0
2013-04-02 12:11:00,todays tesla announcement is actually the 2nd in a 5 part trilogy love douglas adams,0
2013-04-02 12:19:00,certainly true that many people believe that tesla and spacex are powered by the hhgttg infinite improbability drive ,0
2013-04-02 13:49:00,am headed to tx next week to thank people personally for supporting tesla please head to sb 1659  8am tomorrow teslatx,0
2013-04-08 15:22:00,sarah palin calls tesla a loser am deeply wounded   btw model s warranty does cover bricking,0
2013-04-09 10:56:00,in tx to make the case for allowing tesla to sell cars pls come to capitol room e2014 at 130 ,0
2013-04-09 15:43:00,just had texas bbq for lunch in capitol building about to head to house committee hearing to advocate for tesla in tx,0
2013-04-11 14:03:00,new york judge just ruled in favor tesla dismissing the legal attack by auto dealers to prevent direct sales,1
2013-04-25 11:54:00,announcement of new teslamotors strategy tomorrow tesla owners will like this,1
2013-04-25 14:45:00,tapp697 thanks important clarification tesla announcements are always about making product experience better market follows eventually,0
2013-04-25 14:46:00,nycomwireless teslamotors cool thanks for buying our car,0
2013-05-01 13:44:00,realbhuwan teslamotors cool ,0
2013-05-02 13:54:00,time to up the ante and fix some mistakes tesla announcement tomorrow,1
2013-05-06 15:25:00,chris porritt from aston martin just joined as head of vehicle engineering at tesla ,0
2013-05-06 15:28:00,anyone interested in doing ultra hardcore vehicle engineering at tesla please apply,0
2013-05-07 11:37:00,creating an autopilot for cars at tesla is an important but not yet top priority still a few years from production,0
2013-05-07 11:42:00,tesla priority is electrification of cars so priority is model s model x then mass market third gen vehicle amp truck,-1
2013-05-09 11:24:00,there is a way for the tesla model s to be recharged throughout the country faster than you could fill a gas tank,0
2013-05-13 15:33:00,vicorly yes usually several times more energy over the course of the year than is needed by the model s,0
2013-05-30 14:47:00,huge expansion of tesla supercharger network underway will cover la to ny by end of year ,0
2013-06-18 10:57:00,zatulsky shai actually got the idea from a visit to tesla the idea is obvious many things allow battery swap but the technology is not,0
2013-06-21 12:34:00,lisaroutel the ny auto dealers lost in court so now they are funding a bill in ny legislature to block tesla,0
2013-06-25 11:56:00,arthurblake tesla service can do coating or can be done by any auto glass coating company my car is done on side amp rear,0
2013-07-02 14:47:00,woohoo tesla direct sales petition passed the 100k threshold thanks a lot to everyone that helped,0
2013-07-23 15:02:00,oh yeah well tesla will study a plan to study the gm team thats studying tesla so there ,0
2013-09-06 15:25:00,video review of model s vs aston martin rapide s by autocar ,0
2013-10-30 10:47:00,tesla west coast supercharger network now energized travel from vancouver to tijuana in styel ,0
2013-11-19 09:50:00,why does a tesla fire w no injury get more media headlines than 100000 gas car fires that kill 100s of people per year,0
2013-11-19 11:30:00,what makes this incredibly unjust is that the model s to date has the best safety record of any car on the road no injuries or deaths ever,0
2013-11-19 12:28:00,tesla is also extending the model s warranty to cover any fire damage even if due solely to a driver accident,0
2013-11-21 14:17:00,tesla model s consumer reports customer satisfaction survey highest of any car on road at 99100 ,0
2014-01-23 15:40:00,tesla policy is to charge the same price  taxes amp shipping everywhere in the world ,0
2014-02-07 12:54:00,value is holding up tesla car is worth more used than new  mnn  ,0
2014-02-25 13:39:00,model s receives highest customer satisfaction score of any car ever surveyed by consumer reports ,0
2014-03-11 11:23:00,new jersey auto dealers subverting democratic process to try to block tesla sales ,0
2014-03-14 14:35:00,working on a model s environmental impact blog this weekend to counteract bs like the bloomberg graphite story beyond ridiculous,0
2014-04-07 11:47:00,bloomberg article today also has oddly false details i dont eat breakfast at tesla and drink coffee not juice,0
2014-04-08 11:30:00,tesla us business leasing program went live today ,0
2014-04-08 12:33:00,leasing a model s takes 5 mins online no signatures amp one tap on car center screen to accept when delivered,0
2014-04-08 12:44:00,elonmusk also breakfast at tesla is selfserve cereal no distinction for execs and the person mentioned isnt actually an employee,0
2014-06-12 13:02:00,regarding tesla patents ,0
2014-07-01 10:25:00,tesla model s named top model in perceived quality  via usatoday,0
2014-07-10 12:56:00,tesla superchargers delivered over 1gwh last month long distance driving growing exponentially ,0
2014-07-10 13:26:00,leroytwin teslacanada a lot of canadian superchargers are in work and will start going live in the next month or so,0
2014-11-18 10:36:00,tesla comic book ,0
2014-11-19 09:59:00,rumors about canceling falcon wing doors are false at tesla the production car will always be better than the show car,0
2014-12-19 10:40:00,pack swap now operating in limited beta mode for sf to la route can swap battery faster than visiting a gas station tesla blog out soon,0
2014-12-19 14:07:00,tesla fast battery swap details ,0
2014-12-30 15:46:00,model s range curves in detail by version ,0
2015-01-23 11:40:00,elonmusk  in honor of imb rip,0
2015-01-29 15:33:00,tesla p85d 0 to 60mph acceleration will improve by 01 sec soon via overtheair software update to inverter algorithm,0
2015-01-29 15:41:00,tesla dual motor cars are also allwheel drive main goal of dual motor was actually insane traction on snow insane speed was a side effect,0
2015-03-30 12:35:00,major new tesla product line  not a car  will be unveiled at our hawthorne design studio on thurs 8pm april 30,1
2015-04-06 12:17:00,welcome chiefboltkennyh to teslamotors he will apply formula 1 techniques to revolutionize servicing mainstream cars,0
2015-04-09 12:22:00,"testing of the high performance version of the tesla model s by consumerreports
",0
2015-05-01 13:08:00,for more info on tesla energy check out press kit 250kwh for utility scale is the real kicker ,0
2015-05-12 11:23:00,teslap85d that is true if someone says they are thinking about having kids i always encourage them to do so,0
2015-06-15 12:22:00,spacextesla will also do a reference pod to be shown after the hyperloop competition bonus for all racing teams that exceed reference,0
2015-06-23 11:20:00,important to note that model s resale value is also higher than that of gasoline cars,0
2015-07-17 11:30:00,model s product call at 11 today rocket discussion at noon on monday,0
2015-08-06 13:48:00,tesla snakebot autocharger prototype does seem kinda wrong  ,0
2015-12-18 15:30:00,elonmusk holding for issue resolution,0
2016-02-23 15:48:00,romclocko teslamotors coming later this year,0
2016-03-31 11:47:00,incredibly inspired by the interest in model 3 you wont be disappointed also small token of appreciation coming for those who lined up,0
2016-04-01 12:11:00,model 3 orders at 180000 in 24 hours selling price w avg option mix prob 42k so 75b in a day future of electric cars looking bright,0
2016-04-01 13:23:00,thought it would slow way down today but model 3 order count is now at 198k recommend ordering soon as the wait time is growing rapidly,1
2016-04-01 14:38:00,alyssamilano hi alyssa thanks for placing your faith in tesla i hope you have a great experience with the car,0
2016-04-29 15:13:00,erothenberg simple answer is that there just arent many used teslas available demand gtgt supply,0
2016-05-17 15:37:00,drkevinleung teslacanada totally agree am told this will be fixed by thurs maybe fri,0
2016-05-18 14:51:00,merc news story about tesla using 5hr labor seems to be missing a digit tesla actually paid 55hr ,0
2016-05-18 15:00:00,jlgolson yes but it is false of merc news to say that tesla took advantage of low cost labor we paid 55hr that is unequivocal,0
2016-05-18 15:30:00,jlgolson per the letter tesla paid 55hr for additional services so no,0
2016-05-25 10:38:00,"really fun model x review by motortrend best part is x racing while towing a fuel sports car
",0
2016-06-10 13:04:00,nice comment about the model s by cvk on topgearbbca ,0
2016-07-05 11:26:00,alansmurray yes it was material to you  bs article increased your advertising revenue just wasnt material to tsla as shown by market,0
2016-07-19 12:28:00,will be working at tesla on autopilot amp model 3 today then aiming to pull an allnighter and complete the master product plan,0
2016-07-20 15:07:00,post should go live on tesla website around 5pm,0
2016-08-23 11:23:00,tesla product announcement at noon california time today,1
2016-08-31 11:25:00,writing post now with details will publish on tesla website later today,0
2016-09-21 10:32:00,tesla keeps temp below 40c105f by automatically venting cabin amp turning on ac when needed can do this for up to a year on a full charge,0
2016-09-21 11:58:00,notch also the tesla is poison free,0
2016-09-22 12:31:00,ccyuan2013 teslamotors tsrandall yes also only worked if you logged on to a malicious hotspot amp used browser no customers were hacked,0
2016-09-22 13:04:00,aiming for oct 28 unveil in sf bay area of new teslasolarcity solar roof with integrated powerwall 20 battery and tesla charger,0
2016-09-28 15:04:00,gooddaym something messed up here tesla policy is equal pricing for all no discounts ever unless a car is a floor model or was damaged,0
2016-10-10 10:23:00,real fraud going on is denial of climate science as for subsidies tesla gets pennies on dollar vs coal how about we both go to zero,0
2016-10-19 13:29:00,tesla announcement goes live at 5pm california time 30 minutes of media qampa to follow,0
2016-10-19 15:24:00,elonmusk this is also what i was alluding to by model 3 part 2,0
2016-11-04 10:35:00,institutional shareholder services worlds top independent evaluator recommends in favor of teslasolarcity merger ,0
2016-11-04 10:37:00,great model x article by bbctopgear ,0
2016-11-04 11:05:00,i highly recommend the new all glass roof on the model s this was very hard to develop but it makes the interior feel amazing ,0
2016-11-04 12:15:00,mrroryreid mykalsocal bbctopgear teslamotors loving this thread ,0
2016-11-16 15:07:00,looks like the model s p100d easter egg will allow it to do 0 to 60 mph in 24 sec and a 106 sec 14 mile via software update next month,0
2016-11-16 15:20:00,model x numbers should also improve by 01 sec on 0 to 60 and 14 mile,0
