Tweet_Tidspunkt,Text,Rank
2013-04-11 12:03:00,new york judge just ruled in favor tesla dismissing the legal attack by auto dealers to prevent direct sales,1
2013-04-25 09:54:00,announcement of new teslamotors strategy tomorrow tesla owners will like this,1
2013-05-02 11:54:00,time to up the ante and fix some mistakes tesla announcement tomorrow,1
2013-05-07 09:42:00,tesla priority is electrification of cars so priority is model s model x then mass market third gen vehicle amp truck,-1
2015-03-30 10:35:00,major new tesla product line  not a car  will be unveiled at our hawthorne design studio on thurs 8pm april 30,1
2016-04-01 11:23:00,thought it would slow way down today but model 3 order count is now at 198k recommend ordering soon as the wait time is growing rapidly,1
2016-08-23 09:23:00,tesla product announcement at noon california time today,1
2018-04-02 13:03:00,wsj tesla policy is to issue a recall before there are injuries this is absolutely the right thing to do yet there were dozens of recalls by other car companies last month incl w injuries amp deaths but you only wrote an article about tesla why so,1
2018-07-05 12:02:00,teslabull what a coincidence â¦,-1
2018-08-07 10:48:00,am considering taking tesla private at 420 funding secured,1
2018-08-07 11:15:00,lizclaman tesla 420,-1
2018-08-07 12:07:00,heydave7 absolutely am super appreciative of tesla shareholders will ensure their prosperity in any scenario,-1
2018-10-08 09:42:00,the physics of how tesla achieved best safety of any cars ever tested note when vehicle weight is taken into account order is more like xs then 3 but they are all very close,1
2018-10-23 12:28:00,to simplify production many tesla model s amp x interior configs will no longer be available after nov 1 order now to be sure of the one you want,-1
2018-10-26 12:02:00,mcjamez tesla clearly youâre not reading my twitter,-1
2018-10-26 13:11:00,bosterogriego tesla mayemusk wsj good question,-1
2019-01-23 08:53:00,teslarati 310s stainless is better for high temp outer skin as it can take 1450 kelvin so active cooling with cryogenic fuel only has to mitigate 300 degrees of delta temp,-1
2020-02-26 11:20:00,erdayastronaut janeidyeve jakethehuman28 teslatruth twitter sure,1
2020-03-24 13:22:00,samtalkstesla mikebloomberg true mikebloomberg this is  accurate you believe in journalistic integrity but if something isnât done this will continue,1
2020-04-02 13:50:00,28delayslater thirdrowtesla exactly moreover all hospitals were given exact specifications of resmed amp philips ventilators before delivery amp all confirmed they would be critical,1
2020-05-01 09:11:00,tesla stock price is too high imo,-1
2020-05-13 12:00:00,rosileseddie thirdrowtesla acsosheriffs gavinnewsom the custom styling some of the team is doing over their masks is really cool,-1
2020-06-10 08:03:00,flcnhvy gerberkawasaki tesla joerogan good point,-1
2020-07-14 12:48:00,wholemarsblog tesla autopilot was literally named after the term used in aviation also what about autobahn,-1
2020-07-21 11:09:00,samtalkstesla sometimes thatâs how i feel too,-1
2020-07-24 08:12:00,realdonaldtrump tesla thank you on behalf of the tesla team we look forward to building giga texas,-1
2020-11-03 08:53:00,vincent13031925 jonerlichman i put in my last money even though i thought we would still fail but it was either that or certain death for tesla extremely difficult to raise money for an electric car startup considered super quirky back then while stalwarts like gm amp chrysler were going bankrupt,-1
2020-11-03 08:59:00,zainraz4 vincent13031925 jonerlichman closest we got was about a month the model 3 ramp was extreme stress amp pain for a long time â from mid 2017 to mid 2019 production amp logistics hell,1
2020-11-19 09:14:00,justpaulinelol teslaownerssv unfortunately there are too many rules around liquor distribution even in the us however we will be selling the lightning bottle amp shot glasses worldwide,-1
2021-05-18 07:43:00,aiming for extreme precision with next gen model y â microns not millimeters,-1
2021-05-20 11:53:00,heydave7 a longtime tesla supporter gave me the doge dollar sticker at giga berlin,-1
2021-06-21 12:59:00,looking at holding tesla ai day in about a month or so will go over progress with tesla ai software amp hardware both training amp inference purpose is recruiting,1
2021-07-30 08:41:00,teslarati residentsponge only thing beyond ludicrous is plaid,1
2021-12-03 10:05:00,teslaownerssv wholemarsblog yes,-1
2022-01-28 13:25:00,tesmaniancom excited for future of solar at tesla,1
2022-02-25 12:20:00,driveteslaca weâve had about 60 or so cars testing internally in canada hoping to go wider this weekend,-1
2022-04-21 13:12:00,apompliano tesla is really a dozen or more startups if you look at all the things created from scratch that arenât present in other car companies,1
2022-04-25 07:33:00,ppathole tesla spacex neuralink boringcompany i do love humanity,-1
2022-05-06 09:26:00,mayemusk this rumor originated from a parody account but got picked up by real media amp twitter trends sigh,-1
2022-05-18 10:14:00,factstesla assaadrazzouk zshahan3 johnnacrider1 evafoxu insane,1
2022-09-15 09:50:00,gailalfaratx tesla aelluswamy 106921 coming out in a few days with additional polish 10693 comes out shortly after ai day,-1
2022-11-30 14:53:00,teslaownerssv wow thank you for the kind words reedhastings,1
2022-12-22 12:37:00,congratulations tesla team,1
2023-01-12 09:09:00,muskuniversity exactly,1
2023-01-30 10:57:00,wr4nygov looks like tesla is doing ok,1
